filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00004ad1,35a42adf3f7542d7378c3ef357750bfce154d99a,42a5d83f2adb58998a1bd6ef674f9d800cbbd8ab,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0000c4dd,967001543bc3fe0170e0d1055310bc4d41f9c0e6,e72c3d2c3db8df4f18d481c1f5c2be77333c576d,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0000c4dd_d0bf2476e36b7e6db64e892154845abf,be932afead26adbc10268b7a1c03490a5b5cdf53,4dfaae5ae929267c7b954f52ed5f4866d52d7372,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0000f06e,0563a04b2875a22d8f6c3326761bef685eb72c64,a5538237e9e25da2f093b815864bc32b2043088f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00012016,57c801acaad37b7073f1554a43333b715c61728c,19327d1614ee42ed8bc89af9cb331e2b19e2d4da,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00022016,ddd8f055085c3d37e17cf91f998fae85de32e6b0,40760879cfbe688f3c646ded8db2c0fc42c7f1f8,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00024ad1,110741f11774f1c49135b38959c0972b6d8a4a72,9d2c896fbed7b1c6345448a118900c20e4be555b,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0002936b,1c0fc94e27b845606b7d7468e759d53aad580656,a57f922e2d92fa80e8c0eb8f112a0f046d587579,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0002cca2,3895f8c2ebacf3e324faebd68a6e7d691110a643,0c208d4b1a8a3ee6a8e20d0cea6f471814897505,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00032016,749a379f8b13a6096e8731ece1676322c83a1440,1cd23b1cf1757dcea16a62e049c36069fa19f85a,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
000382c8,3fd1cfbd36389e37b8298ab9fac60153a538e74b,c1da0df161db29a35d0041f12b21a8be9c853746,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
000385a3,1f03fb3b9de7704a333385c62f273699cc1dc362,ed51a153f6a94fc225df01ef3e4ca7e024889021,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0003c3de,7d2917a181c68180d7f1cf776b68735428a5726e,7c6e03b11154909f7dd099e20d4e3a33017c46c4,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0003c3de_59747dd0818a4f3d78cd7938115b9093,97e35f6b15ee675414be61c0f2ce8d2a35c51ee7,675d8c8b6b1c6126a396a2c0f6d236600b556003,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00042016,0bd3ccdcef0d1fefcfc5c8b8cb2ac396c963dc84,4313d79c94ece5c589789187e6f02381f4987b09,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
000430f2,46a17fc013c26467825d6ae17d8d3a84d64d2f61,0b5d8867537b47620185cc11aeffc716e1245cca,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00052016,fc0f893535306fdd24611e38b178a2f4c73d0206,e6cd99f89cedabb4676e3f59431827fa6ff69766,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00058f79,5a564af138f6cbfb00e58f600a074bf1ef24acc3,61cc9d8c73d879add0c3012ed878853f0b1f1136,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00062016,72f9c017578f3f8d660b15d2da1e036e4d095375,be5137aee4abfdc23b2817b338086dfd315b7fa5,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
