filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled
00004ad1,672be33b525ed443a1fef548c16b3cb7e849d9af,1a0ccd3d982c6aa24bfd0ab3b38fa8d95bf7b924,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0000c4dd,c0aac4f430300a75a69081ffe78ee1a9263368b2,0a1f22a3fda04dae385d884ad4747148828d03e4,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0000c4dd_d0bf2476e36b7e6db64e892154845abf,75f1235f6ac46f076b64abba085ae1d5d499acde,9fb519b52d09172e73c0c265933f6ab0e2036b5a,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0000f06e,615e6cde8c1201f27b4a1d136dce1152f89c5487,ec54e6fbd7af6cdce48839b5d17a4ee697779724,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00012016,9669922dcd25f679943f6a47b7f2bb1106b5ec2f,c7c3a45b64a916a8b35b3214445f92e21ce44862,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00022016,b85530e45755f57916fbc2923fd2460a0cd34636,017c2986f2caa7e92509cac30df8d527815fb038,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00024ad1,584ab5bbbb3841cd558ea1cf1874cc2c14581c0c,381b79a08872412356858c57a238f5bcec507d1d,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0002936b,565cb23b61bf5a42afc751a3b94c28c061405f4b,8c23ac8cb7ff89d37dfb0452f0c80274dbdfc808,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0002cca2,b785a6ee61d271ed1ddc1b73045c5959785174ab,f806ba4c9737abb6652fee836ab0c1151b34a16c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00032016,0f7f30ecd41a36cc56f4884ec86c25e20ce5b8cb,57d65ab43276447f8be0865dda239286bda82e6e,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000382c8,1086c51428b62421b70460f8efd3432ff40895ed,0cf3183770e981253df43fb9d5c3447852f0baf8,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0003c3de,1541ce8537a339a82c42a1f6be585aa57789c566,da237c4e7796bc2e45fb9f008a693fb7fb2a7577,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0003c3de_59747dd0818a4f3d78cd7938115b9093,e42f2727f861e66b585225d637a4fdf5b13c9f19,8e02fec022f5b5fa3fbeb3942ffef899ce1577ce,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00042016,b7627d9843fdad8bd7ed2055c56bc7ff49bd9e00,96ebe9717dd61cd9777372f382b0b03e15f3820b,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000430f2,339c4411b5dc8bf1bf4bd58842ae7d2ef5ed2148,00a8443b8d2b37340651648463be1e86710d501a,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00052016,eb32124fef9156143e6f27b748ae2a1f4b0fee55,7a7151c3a39a1ed677a433cf9d9b1457df8c8631,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00058f79,7fccbcb3be0c83a111f9648a8f3ebe88d4d6635d,2661e52b7e6727c9da25c27448dfea572c437b43,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00062016,59cf54cc32c5e1a223935a87a9fedacdd2397df6,2478646dedc93acd1d48cd405ea34dbbba4c7729,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00065bbe,e669dd51f8b7c8cba22ed699c5e4beeee8fefbb9,44a4b6d8de3b5c1b216c8772e24d24389c504379,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00068f79,98bcb44cba86c51d7a4673603d129808551fc7eb,44089ffb60d14f4cc8b3eac26c9935229f77edf3,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00072016,3852c5f9bb25a8ab280528d507588b59f2a9932f,de669d60c8c7ae09eb316bc558b0d54c88286ae6,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00075bbe,696a60ef51ea6780c1d4bf3d7a53d1a1b6e007e9,166f7c62c26eca0f32c30a345af8dac2e6ba095f,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00078f79,a79299c946e38701ff84ac2e8eec13072c8e9159,5fd148044e20c67e853d5ec2a5c1aafc605cdf88,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0007bc34,34926d0c145564bab387e60d75b9a2099be93aee,8efd2e29beadc6d88623aa03a0fc027598b325dc,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00082016,cf623d191eada6248bde6cf86eefac98282306e9,99b71a87316b13f8bc27477fd0bd87e5faf4fe6a,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00085bbe,579329cb7cb48a5fa6850fe509df39405fcfcccd,7e5a3b5bbf2426b38ffe01a67caff546e812cf8e,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00085d1e,60df100b0e2924afb873fa43cae464040ede43a9,ada77bcd26aae348a08ca1e172ce3f4738e534f8,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000897ee,a7f9938dba28ebc1bc21832a8abf37ce9fb592ef,26ea46166a710869b68f2ec204641ceba6951d2f,false,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true
0008bc34,d641694f095bed600a33dbc3f86f14381e6d029f,2c465c760a72871f96dc1cca45bbdff9f0d7b9fb,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00096be0,03faab49c60ec56db37927a7bdb98b74b4f3daf9,113735b3897f6841701380b045a97a14d2f35fbe,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0009bc34,53a3f245b06697fa834148004223656ad5bedfda,ce24a37399740e75c26965a136caa2acefed7b50,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0009eb6f,78688c264a8fde8101150089cc938863847371aa,9fccf128eadcf51089575af13357433950be207c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0009f56f,ce4fcd567cb29cfd9918a60de0a5f1f742cef7c0,ebc16a72416f2958f71d6941754820317559c7a9,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0009f66f,7900fdd39d2e354c8ea899a15973cf73a296cbb6,f230f63fffe28e1eb7b7a87ba8a62b57c3ee5032,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000a8fc0,71ab84335d4179f5f7e506f7969626a9fb842e7e,8920e435548b4ee812cc52de37fe9dccbfb7efc4,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000aa7de,47a66f898db2631a44bdd99cc8b6d813ae042354,d7d5f60df9db8a36143f00f721048b8d53548964,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000b7011,885fbf7b25e82d656c9a7fb72237540dc5991bb2,fe04be5e023ef5da2e8ef6e5bd7a4213e7c7c3a0,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000c59bf,a50e46a092745563b9cc34a5584fc89533148603,8cb3824db7668797e2d2bb7d3f0b20186b40d03c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000cc716,0d4bc0744770e215f5a4ac677cb3ba61fe5472c8,b24fc87b2e8d1a6404c59b68728d14ef39daedb3,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000ccd6b,08b0fdaaf6e037fedb2fbd78d570946b63f0c916,dac3a5a4352ed988d53ba0af1ab6d95629cc9ce0,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000e1a61,03b6c1149f8cc4d40f8fa32f8f7f6f07fafc6293,4fb98428f1005c4ffd897c17a6cd28ec0fd3ece3,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
000ebe38,10150bd681120d15d67503ab404264d77429e54f,3d2ffe92719f21e8b329f0292c62a97def97f7af,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00100d1b,d67151360038e05bf1733515a9639de48a8a539b,4a00910308e306e4e1a57f0297299d90c95cc666,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
001087b3,41fadc60229c30ace7ceccac0d0967006c4a1d83,910eb8dd74f2867207ea12982e81a2aea19f1594,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0010e123,53ce553987e5e876d7d5524b1cbd541abd570b78,8b4a29b5a02f0591148f6492e24bb59c4e67c7fd,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
001187b3,e0c1b50353e6b38be466e280d4fb094ee95b5bfd,b40185dff88f33e51edf50140b1b08c8b1c6d243,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0012e9ed,2a90378fa01c86a73b4942fd4401f1a58c1130ac,4f0eb1e5b15037b5d97a6876ca9ac2803c3e88cb,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0013486e,ea45038f50ee767356c373cc240d2cd4f2fadb25,f7680cb84b213df50af32063f5b489dc2e1e7ec9,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0013547f,a477cc8c8d3b7a9080c12177656b85077b9e6f20,a4a28c0f689dd0f082f35be660ff4a7ff9a352b8,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0014547f,ab19b066e964c20442a1f00387c753fa18c79d95,7407b32c2120adc9d31a655ea5a7d6c05bf79428,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
001463f1,ce013b3413c72505340aba8d8633d0a2ceb608fb,8bea2421381b2f134a24fbc8ddd14e0b6a81e88f,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0015547f,59b0f54cd69a8abe5a27c76e3f258fa96f0ac041,18b5af9cea7e3da70b6b96438921684d22e85f38,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
00158927,6d187f2842f22f77bee6f6a35c4629f00a37d072,e87cd8acdb56e44e3a28876db1a9afad5fd27318,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0016852b,e1be15d9ef91e91e2bdc713c4a3e2e4a9ce5319f,922e8cb42f105f6a4fd0e783dba2675e956a011c,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0016bbf5,41b3afeaf7f7c3ce21458036fbd112892e2cfa57,bc320413bfd69673507b1d241e7f59e486bce6a6,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
0017bbf5,d03b1952bd52257ce8700e73922109784b714428,d49ed82169e73cbc604d239a90cb99380aef1df5,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
001a8739,f0a4eb5a6b3b3d89e62f38fdc2fc31338251a7ab,c3d655b761e5941f61f6c05ce1ca5d60ea24e0d9,false,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true
